student_code,skill_name
STU000001,Java
STU000001,JavaScript
STU000001,Azure
STU000001,Go
STU000001,React
STU000002,Azure
STU000002,AWS
STU000002,Node.js
STU000002,NLP
STU000002,Docker
STU000003,C++
STU000003,Deep Learning
STU000003,JavaScript
STU000003,Python
STU000003,Java
STU000003,AWS
STU000004,Node.js
STU000004,Azure
STU000004,Java
STU000005,Kubernetes
STU000005,Statistics
STU000005,Azure
STU000006,Data Visualization
STU000006,Go
STU000006,Spark
STU000006,Docker
STU000006,AWS
STU000009,System Design
STU000009,Docker
STU000009,Kubernetes
STU000011,Docker
STU000011,Azure
STU000011,Power BI
STU000012,Node.js
STU000012,Python
STU000012,Docker
STU000012,Problem Solving
STU000013,Financial Modeling
STU000013,Node.js
STU000013,Java
STU000014,Communication
STU000014,SQL
STU000014,Statistics
STU000014,Java
STU000014,Go
STU000014,Excel
STU000016,SQL
STU000016,JavaScript
STU000016,Financial Modeling
STU000016,System Design
STU000018,Tableau
STU000018,System Design
STU000018,Deep Learning
STU000018,Power BI
STU000018,Azure
STU000018,Python
STU000021,Deep Learning
STU000021,AWS
STU000021,C++
STU000021,Data Visualization
STU000021,Power BI
STU000021,Python
STU000022,Azure
STU000022,React
STU000022,Python
STU000023,JavaScript
STU000023,Problem Solving
STU000023,React
STU000023,Node.js
STU000023,SQL
STU000023,Machine Learning
STU000025,Tableau
STU000025,Statistics
STU000025,Kubernetes
STU000025,Spark
STU000026,Python
STU000026,Spark
STU000026,Docker
STU000029,Kubernetes
STU000029,Financial Modeling
STU000029,Docker
STU000029,Azure
STU000029,Communication
STU000033,JavaScript
STU000033,AWS
STU000033,Tableau
STU000033,Statistics
STU000033,Financial Modeling
STU000033,Data Visualization
STU000034,SQL
STU000034,Python
STU000034,Azure
STU000035,React
STU000035,Communication
STU000035,Node.js
STU000035,Power BI
STU000035,Data Visualization
STU000035,Deep Learning
STU000037,Docker
STU000037,Python
STU000037,Go
STU000037,Java
STU000037,Machine Learning
STU000037,JavaScript
STU000038,Python
STU000038,JavaScript
STU000038,NLP
STU000039,Machine Learning
STU000039,AWS
STU000039,Go
STU000039,Java
STU000039,Kubernetes
STU000039,Tableau
STU000040,NLP
STU000040,Python
STU000040,Power BI
STU000042,Excel
STU000042,Power BI
STU000042,Data Visualization
STU000042,NLP
STU000042,React
STU000043,NLP
STU000043,Kubernetes
STU000043,React
STU000043,Deep Learning
STU000043,Python
STU000044,Azure
STU000044,Node.js
STU000044,Power BI
STU000044,System Design
STU000044,Tableau
STU000045,Financial Modeling
STU000045,SQL
STU000045,Statistics
STU000049,Node.js
STU000049,AWS
STU000049,Go
STU000049,Machine Learning
STU000050,Power BI
STU000050,System Design
STU000050,JavaScript
STU000051,C++
STU000051,NLP
STU000051,Excel
STU000052,C++
STU000052,Go
STU000052,JavaScript
STU000055,Go
STU000055,C++
STU000055,System Design
STU000056,Problem Solving
STU000056,Power BI
STU000056,Docker
STU000056,JavaScript
STU000056,Go
STU000056,AWS
STU000059,C++
STU000059,Node.js
STU000059,Statistics
STU000059,Python
STU000059,Docker
STU000060,Excel
STU000060,Go
STU000060,System Design
STU000061,Statistics
STU000061,NLP
STU000061,Machine Learning
STU000061,Tableau
STU000061,SQL
STU000061,Deep Learning
STU000063,Docker
STU000063,Go
STU000063,Statistics
STU000063,Data Visualization
STU000063,System Design
STU000067,Go
STU000067,Financial Modeling
STU000067,JavaScript
STU000067,SQL
STU000067,Problem Solving
STU000069,Tableau
STU000069,Docker
STU000069,Problem Solving
STU000070,Java
STU000070,Python
STU000070,Docker
STU000070,Problem Solving
STU000071,Machine Learning
STU000071,Communication
STU000071,Kubernetes
STU000071,Docker
STU000071,Data Visualization
STU000072,Node.js
STU000072,Docker
STU000072,Azure
STU000073,Excel
STU000073,System Design
STU000073,Deep Learning
STU000074,Tableau
STU000074,Machine Learning
STU000074,Spark
STU000074,Node.js
STU000074,Financial Modeling
STU000074,Java
STU000075,AWS
STU000075,Java
STU000075,Machine Learning
STU000075,Node.js
STU000077,Kubernetes
STU000077,Financial Modeling
STU000077,Data Visualization
STU000077,AWS
STU000078,Spark
STU000078,AWS
STU000078,Data Visualization
STU000078,Azure
STU000078,System Design
STU000078,Docker
STU000079,Machine Learning
STU000079,Problem Solving
STU000079,Go
STU000079,React
STU000079,Node.js
STU000079,Python
STU000081,C++
STU000081,Tableau
STU000081,Kubernetes
STU000081,System Design
STU000084,React
STU000084,Python
STU000084,Docker
STU000084,Kubernetes
STU000085,React
STU000085,Azure
STU000085,Docker
STU000085,Python
STU000085,Kubernetes
STU000085,Financial Modeling
STU000090,Docker
STU000090,Go
STU000090,React
STU000090,Python
STU000090,JavaScript
STU000091,Excel
STU000091,Tableau
STU000091,Deep Learning
STU000091,Problem Solving
STU000092,Tableau
STU000092,Azure
STU000092,Machine Learning
STU000093,Docker
STU000093,Azure
STU000093,Java
STU000093,React
STU000095,Azure
STU000095,Docker
STU000095,Statistics
STU000095,System Design
STU000095,Communication
STU000095,Kubernetes
STU000097,JavaScript
STU000097,Deep Learning
STU000097,Data Visualization
STU000097,React
STU000098,Azure
STU000098,Machine Learning
STU000098,Tableau
STU000100,Docker
STU000100,Kubernetes
STU000100,Azure
STU000100,System Design
STU000100,NLP
STU000101,Docker
STU000101,Power BI
STU000101,Azure
STU000101,Machine Learning
STU000101,Deep Learning
STU000102,SQL
STU000102,Deep Learning
STU000102,Go
STU000102,Machine Learning
STU000102,Azure
STU000102,Docker
STU000103,Java
STU000103,Azure
STU000103,Power BI
STU000103,AWS
STU000103,C++
STU000103,Kubernetes
STU000104,C++
STU000104,Docker
STU000104,Deep Learning
STU000105,React
STU000105,Communication
STU000105,C++
STU000110,AWS
STU000110,Problem Solving
STU000110,Kubernetes
STU000110,Financial Modeling
STU000110,Spark
STU000112,NLP
STU000112,Power BI
STU000112,SQL
STU000112,Kubernetes
STU000112,Communication
STU000113,Spark
STU000113,Statistics
STU000113,Docker
STU000113,Power BI
STU000114,Tableau
STU000114,React
STU000114,NLP
STU000114,Kubernetes
STU000114,Excel
STU000115,Java
STU000115,Tableau
STU000115,Data Visualization
STU000115,SQL
STU000115,Node.js
STU000117,Problem Solving
STU000117,System Design
STU000117,Tableau
STU000117,Docker
STU000117,Kubernetes
STU000117,React
STU000118,Kubernetes
STU000118,SQL
STU000118,Machine Learning
STU000118,JavaScript
STU000118,Python
STU000118,Docker
STU000121,Go
STU000121,Deep Learning
STU000121,Excel
STU000121,Statistics
STU000121,Azure
STU000124,NLP
STU000124,SQL
STU000124,Power BI
STU000124,React
STU000124,JavaScript
STU000124,Statistics
STU000126,Python
STU000126,Docker
STU000126,Power BI
STU000126,Excel
STU000126,Problem Solving
STU000127,Go
STU000127,C++
STU000127,Python
STU000127,Java
STU000127,Power BI
STU000127,Financial Modeling
STU000130,NLP
STU000130,Data Visualization
STU000130,Tableau
STU000130,Go
STU000131,NLP
STU000131,React
STU000131,Kubernetes
STU000131,Go
STU000132,Kubernetes
STU000132,Deep Learning
STU000132,Python
STU000132,React
STU000133,Kubernetes
STU000133,AWS
STU000133,Azure
STU000136,Go
STU000136,Excel
STU000136,Financial Modeling
STU000136,AWS
STU000137,Excel
STU000137,SQL
STU000137,Machine Learning
STU000137,Data Visualization
STU000137,Azure
STU000138,Power BI
STU000138,JavaScript
STU000138,Communication
STU000138,Go
STU000138,React
STU000138,Excel
STU000139,Machine Learning
STU000139,Deep Learning
STU000139,Python
STU000139,C++
STU000139,Azure
STU000139,Kubernetes
STU000140,Statistics
STU000140,NLP
STU000140,Spark
STU000142,System Design
STU000142,React
STU000142,Spark
STU000142,AWS
STU000143,Deep Learning
STU000143,Financial Modeling
STU000143,Problem Solving
STU000143,Statistics
STU000143,C++
STU000143,System Design
STU000145,Problem Solving
STU000145,Azure
STU000145,SQL
STU000146,Azure
STU000146,SQL
STU000146,Spark
STU000146,Machine Learning
STU000146,Power BI
STU000147,React
STU000147,Deep Learning
STU000147,JavaScript
STU000147,Data Visualization
STU000147,AWS
STU000147,SQL
STU000149,Kubernetes
STU000149,Excel
STU000149,NLP
STU000149,React
STU000149,Tableau
STU000151,Azure
STU000151,Java
STU000151,Communication
STU000152,Power BI
STU000152,Spark
STU000152,Financial Modeling
STU000152,JavaScript
STU000153,Machine Learning
STU000153,Financial Modeling
STU000153,C++
STU000154,Machine Learning
STU000154,JavaScript
STU000154,Communication
STU000156,Power BI
STU000156,Tableau
STU000156,Deep Learning
STU000158,Python
STU000158,Power BI
STU000158,Java
STU000159,Spark
STU000159,Communication
STU000159,Machine Learning
STU000159,System Design
STU000159,Data Visualization
STU000160,SQL
STU000160,Problem Solving
STU000160,JavaScript
STU000160,Spark
STU000160,Communication
STU000160,Java
STU000161,Problem Solving
STU000161,Financial Modeling
STU000161,SQL
STU000161,Deep Learning
STU000165,Go
STU000165,Kubernetes
STU000165,SQL
STU000165,Java
STU000169,Machine Learning
STU000169,Power BI
STU000169,Kubernetes
STU000169,Tableau
STU000169,Go
STU000169,SQL
STU000172,Machine Learning
STU000172,Docker
STU000172,Python
STU000172,React
STU000172,Node.js
STU000172,Power BI
STU000174,C++
STU000174,Python
STU000174,Docker
STU000174,AWS
STU000181,Spark
STU000181,Problem Solving
STU000181,Statistics
STU000181,Tableau
STU000182,Azure
STU000182,Machine Learning
STU000182,Kubernetes
STU000182,Communication
STU000183,Power BI
STU000183,AWS
STU000183,Communication
STU000183,Statistics
STU000183,JavaScript
STU000183,System Design
STU000189,SQL
STU000189,System Design
STU000189,Communication
STU000189,Node.js
STU000189,C++
STU000190,Statistics
STU000190,Java
STU000190,NLP
STU000190,Communication
STU000190,Node.js
STU000196,C++
STU000196,Python
STU000196,NLP
STU000196,Node.js
STU000196,System Design
STU000196,AWS
STU000199,C++
STU000199,System Design
STU000199,SQL
STU000201,System Design
STU000201,Go
STU000201,Python
STU000201,React
STU000202,Data Visualization
STU000202,React
STU000202,Machine Learning
STU000202,Python
STU000202,Go
STU000203,Kubernetes
STU000203,Go
STU000203,SQL
STU000203,Financial Modeling
STU000203,Power BI
STU000204,Java
STU000204,Communication
STU000204,Financial Modeling
STU000204,Python
STU000205,Tableau
STU000205,Node.js
STU000205,Azure
STU000205,JavaScript
STU000205,Data Visualization
STU000207,Spark
STU000207,Statistics
STU000207,Go
STU000210,Excel
STU000210,Problem Solving
STU000210,Statistics
STU000211,Tableau
STU000211,React
STU000211,JavaScript
STU000212,AWS
STU000212,Problem Solving
STU000212,Kubernetes
STU000212,Node.js
STU000213,Excel
STU000213,React
STU000213,Python
STU000213,C++
STU000213,Azure
STU000213,Go
STU000214,Tableau
STU000214,Excel
STU000214,SQL
STU000215,Docker
STU000215,Python
STU000215,Go
STU000215,Problem Solving
STU000215,Power BI
STU000219,Machine Learning
STU000219,Excel
STU000219,Node.js
STU000219,Docker
STU000220,System Design
STU000220,JavaScript
STU000220,Node.js
STU000223,Java
STU000223,Spark
STU000223,Deep Learning
STU000225,Deep Learning
STU000225,System Design
STU000225,SQL
STU000225,Java
STU000225,JavaScript
STU000229,Excel
STU000229,JavaScript
STU000229,Problem Solving
STU000230,AWS
STU000230,Data Visualization
STU000230,Spark
STU000233,C++
STU000233,Go
STU000233,React
STU000233,Node.js
STU000233,Power BI
STU000233,Statistics
STU000235,Tableau
STU000235,Kubernetes
STU000235,Docker
STU000235,Python
STU000235,Go
STU000235,Data Visualization
STU000237,React
STU000237,Statistics
STU000237,Azure
STU000237,Kubernetes
STU000237,SQL
STU000237,Go
