date_key,full_date,year,quarter,month,month_name,placement_cycle
20220815,2022-08-15,2022,3,8,August,2022-23
20220915,2022-09-15,2022,3,9,September,2022-23
20221015,2022-10-15,2022,4,10,October,2022-23
20221115,2022-11-15,2022,4,11,November,2022-23
20221215,2022-12-15,2022,4,12,December,2022-23
20230115,2023-01-15,2023,1,1,January,2022-23
20230215,2023-02-15,2023,1,2,February,2022-23
20230315,2023-03-15,2023,1,3,March,2022-23
20230415,2023-04-15,2023,2,4,April,2022-23
20230815,2023-08-15,2023,3,8,August,2023-24
20230915,2023-09-15,2023,3,9,September,2023-24
20231015,2023-10-15,2023,4,10,October,2023-24
20231115,2023-11-15,2023,4,11,November,2023-24
20231215,2023-12-15,2023,4,12,December,2023-24
20240115,2024-01-15,2024,1,1,January,2023-24
20240215,2024-02-15,2024,1,2,February,2023-24
20240315,2024-03-15,2024,1,3,March,2023-24
20240415,2024-04-15,2024,2,4,April,2023-24
20240815,2024-08-15,2024,3,8,August,2024-25
20240915,2024-09-15,2024,3,9,September,2024-25
20241015,2024-10-15,2024,4,10,October,2024-25
20241115,2024-11-15,2024,4,11,November,2024-25
20241215,2024-12-15,2024,4,12,December,2024-25
20250115,2025-01-15,2025,1,1,January,2024-25
20250215,2025-02-15,2025,1,2,February,2024-25
20250315,2025-03-15,2025,1,3,March,2024-25
20250415,2025-04-15,2025,2,4,April,2024-25
