title,job_family,seniority
Software Engineer,Engineering,Entry
Backend Engineer,Engineering,Entry
Frontend Engineer,Engineering,Entry
Data Analyst,Data,Entry
Data Scientist,Data,Associate
ML Engineer,Data,Associate
Business Analyst,Analyst,Entry
Product Analyst,Analyst,Entry
Consultant,Consulting,Entry
Financial Analyst,Finance,Entry
Systems Engineer,Engineering,Entry
Cloud Engineer,Engineering,Associate
QA Engineer,Engineering,Entry
Operations Associate,Operations,Entry
Design Engineer,Core,Entry
