student_code,gender,degree,major,cgpa_band,prior_internship
STU000001,Male,M.Tech,Computer Science,8-9,False
STU000002,Male,B.Tech,Mechanical,8-9,False
STU000003,Male,MCA,Computer Applications,<7,True
STU000004,Female,MCA,Computer Applications,7-8,False
STU000005,Female,B.Tech,Civil,9+,False
STU000006,Male,B.Tech,Electronics,7-8,True
STU000007,Male,MBA,Operations,7-8,False
STU000008,Female,MBA,Marketing,8-9,True
STU000009,Male,MBA,Marketing,8-9,False
STU000010,Male,MCA,Computer Applications,<7,True
STU000011,Male,MBA,Marketing,9+,False
STU000012,Female,B.Tech,Information Technology,9+,False
STU000013,Male,B.Tech,Information Technology,9+,False
STU000014,Female,M.Tech,Computer Science,8-9,True
STU000015,Female,B.Tech,Computer Science,7-8,False
STU000016,Male,B.Tech,Information Technology,8-9,False
STU000017,Male,M.Tech,Computer Science,9+,True
STU000018,Male,M.Tech,Data Science,7-8,False
STU000019,Female,B.Tech,Electronics,8-9,False
STU000020,Male,B.Tech,Electronics,8-9,True
STU000021,Female,MBA,Marketing,8-9,True
STU000022,Female,B.Tech,Mechanical,<7,True
STU000023,Male,MBA,Finance,8-9,False
STU000024,Male,B.Tech,Information Technology,7-8,False
STU000025,Male,MBA,Marketing,8-9,False
STU000026,Female,MCA,Computer Applications,<7,True
STU000027,Male,MBA,Marketing,9+,False
STU000028,Male,MCA,Computer Applications,8-9,False
STU000029,Female,M.Tech,VLSI,9+,True
STU000030,Male,M.Tech,VLSI,<7,True
STU000031,Male,B.Tech,Civil,8-9,False
STU000032,Male,MCA,Computer Applications,8-9,True
STU000033,Male,MCA,Computer Applications,7-8,False
STU000034,Male,B.Tech,Civil,8-9,False
STU000035,Male,MCA,Computer Applications,8-9,False
STU000036,Male,M.Tech,Computer Science,8-9,False
STU000037,Male,MCA,Computer Applications,9+,False
STU000038,Male,B.Tech,Computer Science,<7,True
STU000039,Female,B.Tech,Information Technology,7-8,False
STU000040,Male,B.Tech,Civil,<7,True
STU000041,Male,MBA,Marketing,8-9,False
STU000042,Male,M.Tech,Computer Science,7-8,True
STU000043,Male,B.Tech,Computer Science,7-8,False
STU000044,Male,MCA,Computer Applications,<7,False
STU000045,Male,B.Tech,Computer Science,7-8,True
STU000046,Female,MBA,Marketing,7-8,False
STU000047,Male,B.Tech,Mechanical,9+,False
STU000048,Female,MCA,Computer Applications,7-8,False
STU000049,Male,M.Tech,Data Science,8-9,False
STU000050,Male,M.Tech,Computer Science,7-8,True
STU000051,Female,M.Tech,VLSI,9+,False
STU000052,Female,M.Tech,Computer Science,8-9,False
STU000053,Male,B.Tech,Civil,<7,True
STU000054,Male,MBA,Marketing,7-8,True
STU000055,Male,M.Tech,Data Science,7-8,False
STU000056,Male,M.Tech,Computer Science,9+,True
STU000057,Male,MBA,Marketing,8-9,False
STU000058,Male,MBA,Operations,7-8,True
STU000059,Male,B.Tech,Civil,7-8,False
STU000060,Female,M.Tech,Data Science,8-9,True
STU000061,Female,M.Tech,Data Science,<7,True
STU000062,Female,MCA,Computer Applications,7-8,False
STU000063,Female,MBA,Finance,9+,True
STU000064,Female,B.Tech,Electronics,9+,False
STU000065,Male,M.Tech,Data Science,7-8,False
STU000066,Male,B.Tech,Mechanical,9+,True
STU000067,Female,B.Tech,Mechanical,<7,True
STU000068,Male,MCA,Computer Applications,<7,False
STU000069,Female,B.Tech,Civil,7-8,True
STU000070,Female,B.Tech,Mechanical,8-9,False
STU000071,Female,M.Tech,Computer Science,<7,False
STU000072,Male,MCA,Computer Applications,<7,True
STU000073,Male,MBA,Operations,8-9,False
STU000074,Female,M.Tech,Computer Science,7-8,False
STU000075,Male,MBA,Finance,<7,True
STU000076,Female,B.Tech,Electronics,<7,False
STU000077,Male,B.Tech,Information Technology,7-8,False
STU000078,Male,B.Tech,Civil,9+,False
STU000079,Female,M.Tech,Computer Science,<7,True
STU000080,Male,MBA,Operations,<7,False
STU000081,Male,M.Tech,Computer Science,<7,False
STU000082,Female,MCA,Computer Applications,7-8,True
STU000083,Male,MCA,Computer Applications,7-8,True
STU000084,Male,M.Tech,VLSI,<7,False
STU000085,Female,M.Tech,Computer Science,9+,True
STU000086,Female,M.Tech,Data Science,<7,False
STU000087,Male,MBA,Finance,8-9,True
STU000088,Female,B.Tech,Electronics,9+,True
STU000089,Female,MCA,Computer Applications,9+,True
STU000090,Male,M.Tech,VLSI,7-8,False
STU000091,Male,MBA,Operations,9+,True
STU000092,Male,M.Tech,Computer Science,7-8,False
STU000093,Male,MCA,Computer Applications,<7,False
STU000094,Male,MCA,Computer Applications,7-8,False
STU000095,Female,MCA,Computer Applications,8-9,False
STU000096,Male,B.Tech,Information Technology,8-9,False
STU000097,Female,B.Tech,Information Technology,7-8,False
STU000098,Male,MCA,Computer Applications,8-9,False
STU000099,Male,B.Tech,Electronics,7-8,True
STU000100,Female,B.Tech,Civil,9+,False
STU000101,Female,B.Tech,Civil,9+,False
STU000102,Female,B.Tech,Mechanical,7-8,True
STU000103,Female,MCA,Computer Applications,<7,False
STU000104,Female,M.Tech,Data Science,9+,True
STU000105,Male,M.Tech,Computer Science,9+,True
STU000106,Female,B.Tech,Civil,7-8,False
STU000107,Female,MBA,Operations,9+,False
STU000108,Male,B.Tech,Civil,7-8,False
STU000109,Male,B.Tech,Mechanical,8-9,False
STU000110,Female,MCA,Computer Applications,9+,True
STU000111,Male,B.Tech,Mechanical,8-9,False
STU000112,Male,M.Tech,Computer Science,7-8,False
STU000113,Female,M.Tech,VLSI,8-9,False
STU000114,Male,M.Tech,Computer Science,<7,True
STU000115,Male,B.Tech,Computer Science,8-9,True
STU000116,Male,B.Tech,Information Technology,8-9,False
STU000117,Male,MBA,Operations,<7,False
STU000118,Male,MBA,Marketing,8-9,True
STU000119,Male,B.Tech,Electronics,<7,False
STU000120,Male,M.Tech,VLSI,7-8,False
STU000121,Male,MBA,Finance,7-8,True
STU000122,Male,B.Tech,Information Technology,7-8,False
STU000123,Female,M.Tech,Computer Science,<7,True
STU000124,Female,B.Tech,Computer Science,7-8,True
STU000125,Male,MBA,Operations,7-8,True
STU000126,Male,MCA,Computer Applications,7-8,False
STU000127,Male,M.Tech,Data Science,7-8,True
STU000128,Male,MCA,Computer Applications,8-9,False
STU000129,Male,MBA,Operations,8-9,False
STU000130,Female,MCA,Computer Applications,7-8,False
STU000131,Male,B.Tech,Electronics,8-9,True
STU000132,Male,M.Tech,Computer Science,<7,False
STU000133,Female,B.Tech,Electronics,7-8,True
STU000134,Female,MBA,Finance,7-8,False
STU000135,Female,M.Tech,VLSI,<7,True
STU000136,Male,M.Tech,Computer Science,9+,False
