university_code,name,tier,region,established_year
UNI001,East Institute of Technology 1,Tier-3,East,1979
UNI002,North Institute of Technology 2,Tier-3,North,1993
UNI003,West Institute of Technology 3,Tier-1,West,2008
UNI004,East Institute of Technology 4,Tier-3,East,1998
UNI005,Central Institute of Technology 5,Tier-1,Central,1979
UNI006,North Institute of Technology 6,Tier-2,North,2005
UNI007,West Institute of Technology 7,Tier-2,West,2000
UNI008,West Institute of Technology 8,Tier-2,West,1967
UNI009,Central Institute of Technology 9,Tier-2,Central,1958
UNI010,South Institute of Technology 10,Tier-3,South,1989
UNI011,East Institute of Technology 11,Tier-3,East,1974
UNI012,West Institute of Technology 12,Tier-3,West,2004
UNI013,East Institute of Technology 13,Tier-3,East,1965
UNI014,West Institute of Technology 14,Tier-2,West,1957
UNI015,East Institute of Technology 15,Tier-1,East,1992
UNI016,South Institute of Technology 16,Tier-3,South,2008
UNI017,Central Institute of Technology 17,Tier-2,Central,1975
UNI018,East Institute of Technology 18,Tier-2,East,1965
UNI019,East Institute of Technology 19,Tier-1,East,1981
UNI020,West Institute of Technology 20,Tier-1,West,1991
UNI021,North Institute of Technology 21,Tier-2,North,2000
UNI022,North Institute of Technology 22,Tier-3,North,1972
UNI023,West Institute of Technology 23,Tier-3,West,1999
UNI024,Central Institute of Technology 24,Tier-2,Central,1970
UNI025,East Institute of Technology 25,Tier-2,East,1962
UNI026,Central Institute of Technology 26,Tier-1,Central,1955
UNI027,East Institute of Technology 27,Tier-3,East,1991
UNI028,South Institute of Technology 28,Tier-3,South,1997
UNI029,West Institute of Technology 29,Tier-2,West,1986
UNI030,South Institute of Technology 30,Tier-1,South,1961
