student_code,university_code,company_code,role_title,channel_name,date_key,is_placed,ctc_lpa,interview_rounds,offers_received,days_to_offer
STU000001,UNI030,CMP045,Frontend Engineer,Job Portal,20230115,1,23.42,4,2,76.0
STU000002,UNI026,CMP070,Cloud Engineer,On-Campus,20230415,1,53.49,5,1,72.0
STU000003,UNI026,CMP074,Frontend Engineer,Referral,20220915,1,33.33,5,2,77.0
STU000004,UNI012,CMP019,Data Analyst,Referral,20230415,1,13.1,3,2,88.0
STU000005,UNI021,CMP063,Cloud Engineer,Direct Application,20230115,1,27.12,2,1,30.0
STU000006,UNI002,CMP031,Frontend Engineer,Job Portal,20221115,1,8.22,2,2,77.0
STU000007,UNI017,,,Recruitment Agency,20230415,0,,0,0,
STU000008,UNI029,,,On-Campus,20220915,0,,2,0,
STU000009,UNI013,CMP050,Frontend Engineer,Recruitment Agency,20221215,1,9.69,2,2,59.0
STU000010,UNI005,,,Job Portal,20230115,0,,0,0,
STU000011,UNI021,CMP077,Frontend Engineer,Recruitment Agency,20221115,1,21.91,5,2,60.0
STU000012,UNI015,CMP010,Backend Engineer,Job Portal,20220915,1,13.39,3,1,34.0
STU000013,UNI014,CMP063,QA Engineer,Referral,20230415,1,20.3,1,1,28.0
STU000014,UNI008,CMP013,Software Engineer,Referral,20230115,1,30.58,4,2,47.0
STU000015,UNI007,,,On-Campus,20230315,0,,0,0,
STU000016,UNI006,CMP018,Operations Associate,Job Portal,20220815,1,22.04,4,1,83.0
STU000017,UNI018,,,Job Portal,20230215,0,,0,0,
STU000018,UNI005,CMP050,Business Analyst,Direct Application,20220915,1,14.29,4,1,20.0
STU000019,UNI007,,,Job Portal,20230115,0,,1,0,
STU000020,UNI017,,,Direct Application,20230215,0,,2,0,
STU000021,UNI016,CMP070,QA Engineer,Referral,20221215,1,14.93,1,2,69.0
STU000022,UNI005,CMP062,Systems Engineer,On-Campus,20230415,1,12.35,4,1,48.0
STU000023,UNI005,CMP041,Business Analyst,Referral,20230315,1,16.52,2,1,62.0
STU000024,UNI007,,,On-Campus,20220815,0,,2,0,
STU000025,UNI020,CMP075,QA Engineer,Recruitment Agency,20221115,1,25.27,3,2,58.0
